Mile_Bin,Time_Label,Avg_Pace,Avg_HR,Elevation_Change_m,Efficiency_Factor
0.1,03:00:19,11.95,123.0,0.0,0.0409
0.2,03:01:17,9.36,145.0,-2.0,0.0443
0.3,03:02:13,8.87,150.0,-1.0,0.0451
0.4,03:03:04,8.31,155.0,-1.0,0.0466
0.5,03:03:53,8.28,156.0,-1.0,0.0465
0.6,03:04:44,8.26,157.0,-2.0,0.0462
0.7,03:05:35,8.46,159.0,-1.0,0.0447
0.8,03:06:26,8.86,157.0,-1.0,0.0432
0.9,03:07:20,8.78,156.0,0.0,0.0438
1.0,03:08:15,9.13,155.0,1.0,0.0424
1.1,03:09:09,9.05,154.0,0.0,0.043
1.2,03:10:04,8.28,156.0,-1.0,0.0464
1.3,03:10:51,8.19,158.0,-1.0,0.0463
1.4,03:11:44,8.63,155.0,-1.0,0.0448
1.5,03:12:34,8.58,156.0,0.0,0.045
1.6,03:13:29,8.93,157.0,1.0,0.0427
1.7,03:14:23,8.67,157.0,1.0,0.044
1.8,03:15:16,9.02,158.0,1.0,0.042
1.9,03:16:09,8.49,158.0,1.0,0.0448
2.0,03:17:00,8.83,155.0,0.0,0.0438
2.1,03:17:54,9.0,161.0,-1.0,0.0414
2.2,03:18:46,8.74,156.0,-2.0,0.0439
2.3,03:19:38,8.73,153.0,-2.0,0.0448
2.4,03:20:31,8.67,154.0,-3.0,0.045
2.5,03:21:23,8.91,152.0,1.0,0.0443
2.6,03:22:19,9.12,157.0,3.0,0.0419
2.7,03:23:14,9.16,159.0,0.0,0.0411
2.8,03:24:10,9.23,157.0,-3.0,0.0415
2.9,03:25:03,8.83,153.0,2.0,0.0445
3.0,03:25:56,8.99,156.0,1.0,0.0428
3.1,03:26:52,9.22,157.0,1.0,0.0415
3.2,03:27:47,8.96,159.0,-1.0,0.042
3.3,03:28:38,8.52,159.0,0.0,0.0442
3.4,03:29:30,8.52,161.0,-3.0,0.0436
3.5,03:30:20,8.53,158.0,0.0,0.0444
3.6,03:31:13,8.98,157.0,1.0,0.0425
3.7,03:32:06,8.91,154.0,-1.0,0.0436
3.8,03:32:59,8.72,157.0,0.0,0.0439
3.9,03:33:52,8.8,156.0,0.0,0.0438
4.0,03:34:45,8.89,154.0,1.0,0.0438
4.1,03:35:39,8.92,155.0,0.0,0.0434
4.2,03:36:33,8.94,160.0,0.0,0.042
4.3,03:37:26,8.97,158.0,0.0,0.0423
4.4,03:38:21,8.96,164.0,1.0,0.0407
4.5,03:39:18,9.08,159.0,2.0,0.0416
4.6,03:40:13,8.8,155.0,1.0,0.044
4.7,03:41:05,8.64,157.0,0.0,0.0443
4.8,03:41:59,8.88,155.0,1.0,0.0437
4.9,03:42:54,9.74,157.0,7.0,0.0393
5.0,03:43:57,9.98,160.0,5.0,0.0376
5.1,03:44:56,9.19,159.0,-4.0,0.041
5.2,03:45:49,8.89,161.0,1.0,0.0418
5.3,03:46:43,8.78,158.0,4.0,0.0433
5.4,03:47:37,9.29,158.0,1.0,0.0408
5.5,03:48:32,8.82,157.0,-2.0,0.0433
5.6,03:49:24,8.82,153.0,-2.0,0.0445
